PDB_ID	calss_label
2WZO	3.30
2D88	1.10
3B84	3.30
2DK4	1.10
1YZG	3.40
2JRF	1.10
2CPQ	3.30
2DL9	2.60
2IGP	1.10
2R53	2.10
2DL4	2.30
4HKC	1.20
2L73	3.30
3T92	1.20
1ALY	2.60
4ZAI	2.40
1D7Q	2.40
2LNA	3.40
4DKC	1.20
3E9V	1.20
2EC1	2.30
2JR7	3.10
5L19	2.60
2M3D	3.30
1JXS	1.10
1GGZ	1.10
1X2N	1.10
2DLP	2.30
1FXL	3.30
3H8Z	2.30
2MIO	2.30
2L08	3.30
2DK2	3.30
4OD9	2.40
2KE9	2.30
2I50	3.30
2L03	2.10
5H4Y	2.60
2K9A	1.20
1BV8	2.60
1RM8	3.40
1YCK	3.40
2DS4	2.60
2YUL	1.10
2YUN	2.30
4C9Y	1.10
2YUF	3.40
4X90	3.40
2YUA	1.10
1Y6L	3.10
1UJD	2.30
2L9R	1.10
1GQ4	2.30
2LK2	1.10
2DHK	2.30
1JLI	1.20
2N52	3.30
5AER	1.10
2EJY	2.30
2CRE	2.30
2DZJ	3.10
5DKA	3.30
2EJM	2.40
2CRR	3.30
2CRW	3.30
2YU4	3.30
2YU6	3.10
2LLY	1.20
2MNG	2.60
1R79	3.30
1SRA	1.10
5LCI	3.30
2NCL	3.30
2IQJ	3.30
2EW3	2.30
2KEB	1.10
2KEA	2.30
2YRL	2.60
2B1U	1.10
2YRN	1.10
2YRB	2.60
2L0B	3.30
2L0A	2.30
1UIT	2.30
1X6B	2.30
1X6F	3.30
1X3S	3.40
2ASU	2.40
2ASQ	3.10
1V89	2.30
2GW6	3.40
4A4I	2.40
2DAF	3.10
2DAI	1.10
2DAJ	3.10
2DAM	1.10
2EGP	3.30
1UFW	3.30
2Q3F	3.40
1X1G	2.30
2DAW	3.10
2LLK	1.10
2DAX	3.10
2BRQ	2.60
2KMU	1.10
3Q2E	1.20
4K92	1.25
1Z0F	3.40
3D9H	1.25
1WMH	3.10
2DA4	1.10
2DA7	1.10
2DA6	1.10
2KSP	1.10
1BD8	1.25
2JLP	2.60
3D9S	1.20
1ZDN	3.10
2DHZ	3.10
2DHY	1.10
4JOI	2.40
4BOP	3.90
1XHN	2.30
2Q87	2.60
4LWD	1.10
1X67	3.40
1X68	2.10
1MJ4	3.10
2CU8	2.10
1IRS	2.30
1JID	3.30
1M7B	3.40
2MMY	3.30
2MMZ	3.40
2LLL	2.60
2RQP	1.10
5J7E	3.30
1S1N	2.30
1G25	3.30
2YQP	3.30
2YQR	3.30
2KXJ	3.10
2E4H	2.30
2YQG	2.60
2EPD	2.30
2MDG	3.30
2YQM	3.30
2EPA	3.30
3LQM	2.60
1WVO	3.90
2EP8	3.40
2LGW	1.10
2LGV	3.30
2KJX	2.40
2EBL	3.30
2M0C	1.10
4XC2	3.10
1BCI	2.60
1TUZ	1.10
2CQ2	3.30
2ENK	3.90
2CQ3	3.30
2ENP	2.60
2KA4	1.20
2CUF	1.10
2CUD	2.30
2CUE	1.10
4JS1	3.90
1OQJ	3.10
2DNQ	3.30
2RRF	2.30
2LUL	2.30
2F8A	3.40
2HRB	3.40
2DMU	1.10
2DMT	1.10
2DMW	3.30
2DMQ	1.10
2DMP	1.10
2M2E	1.10
2DMY	3.30
2LZU	2.10
2FI2	1.10
2DME	1.10
1X3A	1.10
1YRV	3.10
1X5O	3.30
1WI1	2.30
2DMN	1.10
2DMI	3.30
1X5E	3.40
1WI5	2.40
1Y2A	1.25
1KSQ	3.90
2DM0	3.30
1WIM	3.30
1X51	3.90
1X52	3.30
1X53	3.30
1X57	1.10
3VI6	3.30
2DLL	1.10
1UM1	2.30
1HDP	1.10
1SJ6	3.40
1N6J	3.40
2EPB	2.40
2KV3	3.10
2EDU	1.10
3DSH	2.60
1UC6	2.60
2CQL	3.90
2CQM	3.90
2CQH	3.30
2CQD	3.30
2CQA	2.40
2DLE	2.60
5TRB	3.30
2DB8	2.60
2IF1	3.30
2DB2	3.30
2KDP	3.40
3SH4	2.60
2I4K	3.30
2KDK	3.30
2EP6	2.60
1M3G	3.90
2KDB	3.10
3H6N	3.10
5A1M	3.40
3EPY	1.20
2DBM	2.30
1RL1	2.60
2DBA	1.25
2JSN	2.30
3N3F	2.10
4QPN	3.40
4Q3H	2.30
2LCR	2.10
2EBM	3.10
2CQ7	1.10
2KM6	1.10
1GR3	2.60
2EBK	3.10
4FLB	1.25
2MC3	1.10
2HI4	1.10
2LQT	1.10
4BGC	3.30
2DO7	1.10
2VGE	1.25
1ZRH	3.40
1QND	3.30
2DIX	3.30
1SNL	1.10
2V14	3.30
2DIP	3.30
2DIS	3.30
2DIR	3.30
2DIT	3.30
2DIL	2.30
2HVZ	3.30
3C6W	3.30
2DIG	2.30
2DI0	1.10
2GUT	1.10
2RNL	2.10
2E3L	3.90
2ETT	3.30
1ZR9	3.30
1Y7X	2.30
2D89	1.10
2YTC	3.30
1Y7Q	1.10
3F4M	1.20
1UPQ	2.30
4WII	3.30
2KR6	1.10
2DGW	3.30
3EUF	3.40
1WWV	1.10
4EJQ	2.60
2FN4	3.40
2KIU	1.10
1WWY	2.60
1WWX	1.10
1CL3	2.40
1VA9	2.60
4M6R	3.40
2DN6	2.30
2WCY	3.30
1TTX	1.10
1WXP	1.10
1WXT	2.30
2EJ7	1.10
4V11	2.60
4P0C	2.30
2EAQ	2.30
2LV2	3.30
1D5V	1.10
1W0H	3.30
2QIC	3.30
2DI7	2.60
2ARW	2.60
2RA4	2.40
1SGO	3.30
2DNM	3.30
2DNO	3.30
2DNH	3.30
3SMZ	3.30
3CI9	1.20
2DNF	3.10
1UGV	2.30
1JR2	3.40
1UGK	2.60
2Z5D	3.10
2DNX	1.20
1U5D	2.30
5A2F	2.60
2DNW	1.10
1IQ3	1.10
2KG4	3.30
5KC8	3.40
1WJU	3.10
1WJR	2.30
2WM8	3.40
1WJP	3.30
2ES0	1.20
1QU6	3.30
1LL8	3.30
2MGS	2.40
1WJO	1.10
2MGX	1.20
2K2J	2.30
1IAM	2.60
2FRG	2.60
2EH0	2.60
1MP1	1.20
2NBR	2.60
2CT6	3.40
2VKP	3.30
2CT2	3.30
1IAP	1.20
1IAU	2.40
2MJ7	3.30
2CTD	3.30
2AFF	2.60
1JHJ	2.60
2LMD	1.10
4C45	3.30
2EHF	2.10
2HDL	2.40
2CTQ	1.10
2CTP	1.10
2CTR	1.10
2HDE	3.10
2K27	1.10
2HDA	2.30
1ROA	3.10
2E7M	2.60
2E7K	2.30
2E7G	3.30
3KB5	2.60
1FAO	2.30
2HM2	1.10
2L2D	1.10
1WGM	3.30
2VRD	3.30
2ESB	3.90
2UZG	3.30
2GDZ	3.40
2L2O	1.10
2DJ0	3.40
2MPF	2.60
2CB5	3.90
2HXP	3.90
2WGP	3.90
5JBT	2.40
2P5X	3.90
3ZKE	3.30
2EEF	2.60
3BCH	3.40
2EEL	3.10
2EE0	2.60
