PDB_ID	calss_label
2WZO	3.30.160
1YZG	3.40.50
2DL9	2.60.40
2DL4	2.30.30
4ZAI	2.40.50
1D7Q	2.40.50
2EC1	2.30.29
2M3D	3.30.70
1JXS	1.10.10
1X2N	1.10.10
2DLP	2.30.30
1FXL	3.30.70
3H8Z	2.30.30
2MIO	2.30.30
2L08	3.30.70
2DK2	3.30.70
2KE9	2.30.30
2I50	3.30.40
5H4Y	2.60.40
1BV8	2.60.40
2DS4	2.60.40
2YUN	2.30.30
4C9Y	1.10.10
4X90	3.40.50
1UJD	2.30.42
2L9R	1.10.10
1GQ4	2.30.42
2LK2	1.10.10
2DHK	2.30.29
2EJY	2.30.42
2CRE	2.30.30
2DZJ	3.10.20
5DKA	3.30.40
2EJM	2.40.50
2CRR	3.30.40
2CRW	3.30.40
2YU4	3.30.40
2IQJ	3.30.40
2EW3	2.30.30
2KEA	2.30.30
2YRL	2.60.40
2YRB	2.60.40
2L0B	3.30.40
2L0A	2.30.30
1UIT	2.30.42
1X6B	2.30.30
1X6F	3.30.160
1X3S	3.40.50
2ASQ	3.10.20
1V89	2.30.29
4A4I	2.40.50
2DAF	3.10.20
2DAJ	3.10.20
2EGP	3.30.40
1UFW	3.30.70
2Q3F	3.40.50
1X1G	2.30.29
2LLK	1.10.10
2BRQ	2.60.40
2KMU	1.10.10
1Z0F	3.40.50
1WMH	3.10.20
2DA4	1.10.10
2DA7	1.10.10
2DA6	1.10.10
2JLP	2.60.40
2DHZ	3.10.20
4JOI	2.40.50
2Q87	2.60.40
1IRS	2.30.29
1M7B	3.40.50
2MMY	3.30.70
2MMZ	3.40.30
2LLL	2.60.40
2RQP	1.10.10
1S1N	2.30.30
1G25	3.30.40
2KXJ	3.10.20
2E4H	2.30.30
2YQG	2.60.40
2EPD	2.30.30
2MDG	3.30.160
2YQM	3.30.40
2EPA	3.30.160
3LQM	2.60.40
2EP8	3.40.50
2LGV	3.30.40
2KJX	2.40.50
2M0C	1.10.10
4XC2	3.10.20
1BCI	2.60.40
2CQ2	3.30.70
2CQ3	3.30.70
2ENP	2.60.40
2CUF	1.10.10
2CUD	2.30.30
2CUE	1.10.10
2DNQ	3.30.70
2RRF	2.30.29
2LUL	2.30.29
2F8A	3.40.30
2HRB	3.40.50
2DMU	1.10.10
2DMT	1.10.10
2DMQ	1.10.10
2DMP	1.10.10
2M2E	1.10.10
2DMY	3.30.160
1X5O	3.30.70
1WI1	2.30.29
2DMN	1.10.10
2DMI	3.30.160
1X5E	3.40.30
1WI5	2.40.50
1WIM	3.30.40
2DLL	1.10.10
1UM1	2.30.42
1HDP	1.10.10
1SJ6	3.40.30
2EPB	2.40.50
1UC6	2.60.40
2CQH	3.30.70
2CQD	3.30.70
2CQA	2.40.50
2DLE	2.60.40
5TRB	3.30.40
2DB8	2.60.40
2DB2	3.30.160
2EP6	2.60.40
2KDB	3.10.20
3H6N	3.10.20
2DBM	2.30.30
1RL1	2.60.40
2JSN	2.30.42
4QPN	3.40.50
4Q3H	2.30.42
2CQ7	1.10.10
2MC3	1.10.10
2DO7	1.10.10
1ZRH	3.40.50
2DIX	3.30.160
2DIS	3.30.70
2DIT	3.30.70
2DIL	2.30.30
2HVZ	3.30.70
3C6W	3.30.40
2DIG	2.30.30
1ZR9	3.30.160
1Y7X	2.30.30
2YTC	3.30.70
1UPQ	2.30.29
4WII	3.30.70
2DGW	3.30.70
3EUF	3.40.50
2FN4	3.40.50
2KIU	1.10.10
1WWX	1.10.10
1VA9	2.60.40
